team;total;Mattenhandball;Ablegerball;Burgball
HC-Lustenau 2;8;3;2;3
Bregenz Handball 2;8;3;2;3
Harder Teufel;8;3;2;3
Emser Gämse;8;3;3;2
Feldkirch Bären;8;2;3;3
