team;total;Mattenhandball;Ablegerball;Burgball
Harder Diavolos;8;2;3;3
SSV Rennmäuse;8;3;3;2
HC-Lustenau 3;8;3;2;3
Emser Antilopen;8;3;3;2
TS-Dornbirn 2;8;3;3;2
