team;total;Mattenhandball;Ablegerball;Burgball
SSV Ballprinzessinnen;8;3;2;3
Bregenz Handball 1;8;2;3;3
Harder Devils;8;3;3;2
Emser Steinböcke;8;2;3;3
TS-Dornbirn 1;8;3;3;2
HC-Lustenau 1;8;3;2;3
